Time;Markierung 1/0/X;Markierung 1/0/Y;;;;
0;17.502;-17.35918;;;;
0.034;17.81208;-17.15402;;;;
0.068;17.81208;-17.15402;;;;
0.101;17.81667;-16.82824;;;;
0.135;17.81667;-16.82824;;;;
0.169;17.81667;-16.82824;;;;
0.203;17.82125;-16.50245;;;;
0.237;17.82125;-16.50245;;;;
0.271;17.50006;-16.17208;;;;
0.304;17.50465;-15.8463;;;;
0.338;17.50465;-15.8463;;;;
0.372;17.50924;-15.52051;;;;
0.406;17.51382;-15.19473;;;;
0.44;17.18804;-15.19014;;;;
0.474;17.19263;-14.86435;;;;
0.507;17.19263;-14.86435;;;;
0.541;17.19263;-14.86435;;;;
0.575;17.19263;-14.86435;;;;
0.609;17.19263;-14.86435;;;;
0.643;17.19263;-14.86435;;;;
0.677;17.19263;-14.86435;;;;
0.71;17.19263;-14.86435;;;;
0.744;17.51841;-14.86894;;;;
0.778;17.51841;-14.86894;;;;
0.812;17.51841;-14.86894;;;;
0.846;17.51841;-14.86894;;;;
0.88;17.51841;-14.86894;;;;
0.913;17.51841;-14.86894;;;;
0.947;18.16998;-14.87812;;;;
0.981;18.82614;-14.56151;;;;
1015;19.80349;-14.57528;;;;
1049;21.10663;-14.59363;;;;
1083;23.06593;-14.29538;;;;
1116;25.02063;-14.32291;;;;
Jan 03;27.62691;-14.35962;;;;
1184;30.23319;-14.39633;;;;
1218;33.49103;-14.44221;;;;
1252;36.74888;-14.4881;;;;
1286;40.6537;-14.86895;;;;
1319;44.88432;-15.25438;;;;
1353;49.76649;-15.64899;;;;
1387;54.97446;-16.04819;;;;
1421;60.8294;-16.78236;;;;
1455;66.68435;-17.51652;;;;
1489;72.86507;-18.25528;;;;
1522;79.37159;-18.99862;;;;
1556;85.88269;-19.41617;;;;
Jan 59;92.71958;-19.83832;;;;
1624;99.23068;-20.25587;;;;
1658;106.0676;-20.67802;;;;
1692;113.244;-20.1274;;;;
1725;120.76;-18.60401;;;;
1759;128.2714;-17.40641;;;;
1793;136.0994;-16.86496;;;;
1827;143.2804;-15.98856;;;;
1861;149.4749;-15.74995;;;;
1895;155.3344;-16.15833;;;;
1928;160.2166;-16.55295;;;;
1962;163.7865;-17.58078;;;;
1996;165.732;-18.25988;;;;
02. Mrz;166.6956;-19.25099;;;;
2064;166.6818;-20.22835;;;;
2098;165.3649;-21.18735;;;;
2131;162.7449;-22.12799;;;;
2165;159.7991;-23.06405;;;;
2199;156.2109;-23.33936;;;;
2233;152.6226;-23.61467;;;;
2267;149.6906;-23.57337;;;;
2301;147.4101;-23.54125;;;;
2334;145.4554;-23.51373;;;;
2368;143.8264;-23.49078;;;;
2402;142.8491;-23.47701;;;;
2436;142.1975;-23.46783;;;;
Feb 47;141.8717;-23.46325;;;;
2503;141.8763;-23.13747;;;;
2537;142.2021;-23.14205;;;;
2571;142.8583;-22.82545;;;;
2605;143.1841;-22.83003;;;;
2639;144.166;-22.51801;;;;
2673;145.4691;-22.53637;;;;
2706;146.7723;-22.55473;;;;
Feb 74;148.4058;-22.25188;;;;
2774;150.0347;-22.27483;;;;
2808;151.6682;-21.97198;;;;
2842;153.3017;-21.66914;;;;
2876;155.261;-21.37089;;;;
2909;156.5688;-21.06345;;;;
2943;158.5281;-20.76521;;;;
2977;160.4828;-20.79273;;;;
3011;162.4421;-20.49448;;;;
3045;164.0756;-20.19164;;;;
3079;165.7045;-20.21458;;;;
3112;167.6592;-20.24211;;;;
3146;169.6185;-19.94386;;;;
Mrz 18;171.5732;-19.97139;;;;
3214;173.8537;-20.00351;;;;
3248;176.1342;-20.03563;;;;
3282;178.4147;-20.06775;;;;
3315;181.021;-20.10446;;;;
3349;183.6226;-20.46696;;;;
3383;186.2289;-20.50366;;;;
3417;189.4822;-20.87533;;;;
3451;192.4142;-20.91663;;;;
3485;195.9933;-21.29288;;;;
3518;198.9207;-21.65997;;;;
3552;202.174;-22.03164;;;;
3586;205.4273;-22.40331;;;;
Mrz 62;208.6759;-23.10076;;;;
3654;211.9292;-23.47243;;;;
3688;215.5036;-24.17448;;;;
3721;218.4311;-24.54156;;;;
3755;221.354;-25.23443;;;;
3789;223.3041;-25.58774;;;;
3823;224.6027;-25.93188;;;;
3857;224.9239;-26.26225;;;;
3891;224.9193;-26.58804;;;;
3924;224.5843;-27.23502;;;;
3958;223.9281;-27.55163;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
